MW_ID,Sample_ID,Group,Group2,batch
M20105096a,R_201006_1,RTT_1,RTT,year_20
M20105101a,R_201010_1,RTT_1,RTT,year_20
T24112200a,R_221002_1,RTT_1,RTT,year_24
T24112204a,R_211007_1,RTT_1,RTT,year_24
T24112212a,R_211010_1,RTT_1,RTT,year_24
T24112216a,R_221010_1,RTT_1,RTT,year_24
T24112220a,R_221012_1,RTT_1,RTT,year_24
T24112224a,R_221007_1,RTT_1,RTT,year_24
T24120665a,R_211006_1,RTT_1,RTT,year_24
M20105106a,C_201008_1,WT_1,WT,year_20
M20105111a,C_201004_1,WT_1,WT,year_20
M20105117a,C_201002_1,WT_1,WT,year_20
M20105122a,C_201000_1,WT_1,WT,year_20
T24112180a,C_211001_1,WT_1,WT,year_24
T24112184a,C_211000_1,WT_1,WT,year_24
T24112188a,C_211003_1,WT_1,WT,year_24
T24112196a,C_211004_1,WT_1,WT,year_24
T24120662a,C_211002_1,WT_1,WT,year_24
M20105098a,R_201006_3,RTT_3,RTT,year_20
M20105103a,R_201010_3,RTT_3,RTT,year_20
T24112201a,R_221002_3,RTT_3,RTT,year_24
T24112205a,R_211007_3,RTT_3,RTT,year_24
T24112209a,R_211006_3,RTT_3,RTT,year_24
T24112213a,R_211010_3,RTT_3,RTT,year_24
T24112217a,R_221010_3,RTT_3,RTT,year_24
T24112221a,R_221012_3,RTT_3,RTT,year_24
T24112225a,R_221007_3,RTT_3,RTT,year_24
M20105108a,C_201008_3,WT_3,WT,year_20
M20105114a,C_201004_3,WT_3,WT,year_20
M20105119a,C_201002_3,WT_3,WT,year_20
M20105124a,C_201000_3,WT_3,WT,year_20
T24112181a,C_211001_3,WT_3,WT,year_24
T24112185a,C_211000_3,WT_3,WT,year_24
T24112189a,C_211003_3,WT_3,WT,year_24
T24112197a,C_211004_3,WT_3,WT,year_24
T24112193a,C_211002_3,WT_3,WT,year_24
T24112168a,R_201010_6,RTT_6,RTT,year_24
T24112202a,R_221002_6,RTT_6,RTT,year_24
T24112206a,R_211007_6,RTT_6,RTT,year_24
T24112210a,R_211006_6,RTT_6,RTT,year_24
T24112214a,R_211010_6,RTT_6,RTT,year_24
T24112218a,R_221010_6,RTT_6,RTT,year_24
T24112222a,R_221012_6,RTT_6,RTT,year_24
T24112226a,R_221007_6,RTT_6,RTT,year_24
T24114427a,R_201006_6,RTT_6,RTT,year_24
T24112170a,C_201008_6,WT_6,WT,year_24
T24112171a,C_201004_6,WT_6,WT,year_24
T24112172a,C_201002_6,WT_6,WT,year_24
T24112173a,C_201000_6,WT_6,WT,year_24
T24112182a,C_211001_6,WT_6,WT,year_24
T24112186a,C_211000_6,WT_6,WT,year_24
T24112190a,C_211003_6,WT_6,WT,year_24
T24112198a,C_211004_6,WT_6,WT,year_24
T24112194a,C_211002_6,WT_6,WT,year_24
T24112174a,R_201010_9,RTT_9,RTT,year_24
T24112175a,R_201006_9,RTT_9,RTT,year_24
T24112211a,R_211006_9,RTT_9,RTT,year_24
T24112219a,R_221010_9,RTT_9,RTT,year_24
T24112223a,R_221012_9,RTT_9,RTT,year_24
T24114426a,R_221007_9,RTT_9,RTT,year_24
TTT24112203a,R_221002_9,RTT_9,RTT,year_24
TTT24112207a,R_211007_9,RTT_9,RTT,year_24
TTT24112215a,R_211010_9,RTT_9,RTT,year_24
T24112176a,C_201008_9,WT_9,WT,year_24
T24112177a,C_201004_9,WT_9,WT,year_24
T24112178a,C_201002_9,WT_9,WT,year_24
T24112179a,C_201000_9,WT_9,WT,year_24
T24112183a,C_211001_9,WT_9,WT,year_24
T24112187a,C_211000_9,WT_9,WT,year_24
T24112191a,C_211003_9,WT_9,WT,year_24
T24112199a,C_211004_9,WT_9,WT,year_24
T24112195a,C_211002_9,WT_9,WT,year_24
