"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Glycerophospholipid metabolism",36,1.723,10,3.2139e-06,5.493,0.00025711,0.00025711,0.44613
"Sphingolipid metabolism",32,1.5316,9,9.3768e-06,5.0279,0.00074077,0.00037507,0.67041
"Glycerolipid metabolism",16,0.76579,5,0.00063482,3.1974,0.049516,0.016928,0.42336
"Caffeine metabolism",11,0.52648,4,0.0012379,2.9073,0.095318,0.024758,1
"Galactose metabolism",27,1.2923,4,0.036785,1.4343,1,0.58856,0.06962
"Vitamin B6 metabolism",9,0.43076,2,0.065426,1.1843,1,0.66827,0.15686
"Ascorbate and aldarate metabolism",9,0.43076,2,0.065426,1.1843,1,0.66827,0.52381
"Ether lipid metabolism",20,0.95724,3,0.066827,1.175,1,0.66827,0.50944
"Biosynthesis of unsaturated fatty acids",36,1.723,4,0.089518,1.0481,1,0.7477,0
"Neomycin, kanamycin and gentamicin biosynthesis",2,0.095724,1,0.093463,1.0294,1,0.7477,0
"Tryptophan metabolism",41,1.9623,4,0.12899,0.88943,1,0.75072,0.19686
"Amino sugar and nucleotide sugar metabolism",42,2.0102,4,0.13765,0.86122,1,0.75072,0.07225
"Arginine biosynthesis",14,0.67007,2,0.14197,0.84781,1,0.75072,0.06091
"Glutathione metabolism",28,1.3401,3,0.1468,0.83329,1,0.75072,0.08873
"Alanine, aspartate and glutamate metabolism",28,1.3401,3,0.1468,0.83329,1,0.75072,0.24519
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",15,0.71793,2,0.15894,0.79876,1,0.75072,0.00639
"Inositol phosphate metabolism",30,1.4359,3,0.17026,0.7689,1,0.75072,0.0777
"Primary bile acid biosynthesis",46,2.2017,4,0.1745,0.75821,1,0.75072,0.06972
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.19145,1,0.1783,0.74886,1,0.75072,0.5
"Glycine, serine and threonine metabolism",33,1.5795,3,0.20728,0.68345,1,0.79173,0.37111
"Starch and sucrose metabolism",18,0.86152,2,0.21173,0.67422,1,0.79173,0.43044
"Linoleic acid metabolism",5,0.23931,1,0.21772,0.66209,1,0.79173,0
"Pentose and glucuronate interconversions",19,0.90938,2,0.22973,0.63879,1,0.79904,0.15663
"beta-Alanine metabolism",21,1.0051,2,0.26598,0.57515,1,0.88659,0
"Pyrimidine metabolism",39,1.8666,3,0.28568,0.54412,1,0.89916,0.10825
"Steroid biosynthesis",41,1.9623,3,0.31249,0.50516,1,0.89916,0.07785
"Valine, leucine and isoleucine biosynthesis",8,0.3829,1,0.32515,0.48792,1,0.89916,0
"Phenylalanine metabolism",8,0.3829,1,0.32515,0.48792,1,0.89916,0
"Tyrosine metabolism",42,2.0102,3,0.32594,0.48686,1,0.89916,0.15242
"Arachidonic acid metabolism",45,2.1538,3,0.36626,0.43621,1,0.9767,0.28208
"Fatty acid biosynthesis",47,2.2495,3,0.39297,0.40564,1,1,0.01472
"Purine metabolism",71,3.3982,4,0.44518,0.35146,1,1,0.07442
"alpha-Linolenic acid metabolism",13,0.62221,1,0.47276,0.32536,1,1,0
"D-Amino acid metabolism",15,0.71793,1,0.52244,0.28196,1,1,0
"Nicotinate and nicotinamide metabolism",15,0.71793,1,0.52244,0.28196,1,1,0
"Histidine metabolism",16,0.76579,1,0.54552,0.26319,1,1,0
"Fatty acid degradation",39,1.8666,2,0.56589,0.24727,1,1,0.00142
"Ubiquinone and other terpenoid-quinone biosynthesis",18,0.86152,1,0.58843,0.23031,1,1,0
"Fructose and mannose metabolism",20,0.95724,1,0.62733,0.20251,1,1,0
"Pantothenate and CoA biosynthesis",20,0.95724,1,0.62733,0.20251,1,1,0
"Pentose phosphate pathway",23,1.1008,1,0.67898,0.16815,1,1,0.04419
"Folate biosynthesis",27,1.2923,1,0.737,0.13253,1,1,0
"Lipoic acid metabolism",28,1.3401,1,0.74981,0.12505,1,1,0.0017
"Porphyrin metabolism",31,1.4837,1,0.78466,0.10532,1,1,0
"Glyoxylate and dicarboxylate metabolism",32,1.5316,1,0.79517,0.099539,1,1,0.10582
"Arginine and proline metabolism",36,1.723,1,0.8324,0.079669,1,1,0.16395
"Drug metabolism - other enzymes",38,1.8188,1,0.84842,0.071388,1,1,0
"Fatty acid elongation",39,1.8666,1,0.85586,0.067599,1,1,0
"Drug metabolism - cytochrome P450",53,2.5367,1,0.92897,0.031998,1,1,0
